endereco,preco,area,quartos,banheiros,garagens
"Plano Diretor Sul, Palmas",1200000,196,3,3,2
"Rua 35, Jardim Aureny III",210000,71,2,2,2
"Plano Diretor Sul, Palmas",550000,147,3,3,3
"Plano Diretor Sul, Palmas",460000,213,3,2,3
"ARSO 61 Alameda 12, Plano Diretor Sul",450000,99,3,2,5
"Plano Diretor Expansao Sul, Palmas",470000,132,3,2,0
"ARSO 54 Alameda 8, Plano Diretor Sul",680000,163,3,3,2
"Centro, Palmas",450000,100,3,2,0
"Quadra ARSE 71 Alameda 6, Plano Diretor Sul",435000,158,3,3,2
"Plano Diretor Sul, Palmas",310000,60,2,2,1
"Plano Diretor Sul, Palmas",350000,96,3,2,2
"Avenida Taquari, Jardim Santa Barbara",198000,87,2,2,1
"Quadra ARSO 52 Alameda 15, Area Central",320000,99,3,1,2
"Rua Fabrício César Freire, Jardim Janaina Taquaralto",195000,83,3,2,1
"Loteamento Lago Sul Taquaralto, Palmas",160000,161,2,1,2
"Avenida Antônio Sampaio, Loteamento Bertaville",250000,105,3,2,1
"Jardim Taquari, Palmas",150000,360,2,1,3
"Plano Diretor Sul, Palmas",450000,120,3,2,2
"Plano Diretor Sul, Palmas",550000,147,3,3,3
"Plano Diretor Sul, Palmas",650000,150,3,4,3
"Plano Diretor Norte, Palmas",670000,166,3,3,0
"Plano Diretor Sul, Palmas",450000,205,3,3,3
"ARSE 22 Alameda 4, Plano Diretor Sul",950000,250,4,3,2
"Quadra ARNE 14 Alameda 19, Plano Diretor Norte",450000,137,3,2,3
"Plano Diretor Sul, Palmas",400000,110,3,2,2
"Plano Diretor Sul, Palmas",680000,158,3,2,2
"Plano Diretor Sul, Palmas",360000,120,3,2,2
"Plano Diretor Sul, Palmas",1350000,240,4,5,4
"ARSO 33 Rua 3, Plano Diretor Sul",750000,116,3,3,3
"Rua Leonor Alice Alves de Oliveira, Loteamento Lago Sul Taquaralto",180000,72,2,2,1
"Rua Porto Velho, Jardim Aureny I",280000,221,2,1,7
"Plano Diretor Sul, Palmas",269000,100,2,2,2
"Loteamento Bertaville, Palmas",490000,150,3,3,4
"Plano Diretor Sul, Palmas",360000,120,3,2,2
"Plano Diretor Sul, Palmas",680000,158,3,2,2
"ARSO 53 Alameda 1, Plano Diretor Sul",694000,145,3,4,2
"Plano Diretor Sul, Palmas",290000,85,3,2,2
"ARSE 24 Alameda 5, Plano Diretor Sul",700000,230,3,2,3
"Plano Diretor Sul, Palmas",350000,146,3,2,2
"Setor Morada do Sol 2 Taquaralto, Palmas",170000,100,4,1,2
"Plano Diretor Sul, Palmas",650000,165,3,3,2
"Plano Diretor Sul, Palmas",269000,150,2,2,2
"Plano Diretor Norte, Palmas",380000,189,3,2,1
"Plano Diretor Sul, Palmas",300000,178,4,2,2
"Plano Diretor Sul, Palmas",280000,85,2,2,2
"Quadra ARSO 52 Alameda 24, Plano Diretor Sul",530000,103,3,3,2
"Quadra ARSE 152 QD 17, Plano Diretor Sul",390000,132,3,2,2
"Plano Diretor Sul, Palmas",285000,72,2,2,2
"Quadra ARNE 74 Rua 4, Plano Diretor Norte",412000,151,3,2,6
"Quadra ARSE 141 Alameda 31, Plano Diretor Sul",285000,75,2,2,2
"ARSE 22 Alameda 4, Plano Diretor Sul",850000,220,3,3,2
"Plano Diretor Norte, Palmas",1600000,265,4,6,3
"Plano Diretor Sul, Palmas",1750000,380,3,2,4
"Jardim Aureny III, Palmas",198000,88,2,1,2
"Loteamento Bertaville, Palmas",240000,120,3,2,3
"Plano Diretor Norte, Palmas",320000,130,2,3,4
"ARSO 63 Alameda 1, Centro",550000,130,3,2,2
"Plano Diretor Sul, Palmas",650000,150,3,3,0
"Jardim Aureny IV, Palmas",89999,75,2,1,4
"Centro, Palmas",600000,140,3,3,3
"ARNE 12 Alameda 15, Plano Diretor Norte",700000,180,3,2,3
"Plano Diretor Sul, Palmas",600000,118,3,1,1
"ARSO 43 Alameda 9, Plano Diretor Sul",660000,158,3,2,0
"Centro, Palmas",2800000,413,5,6,4
"Plano Diretor Norte, Palmas",650000,160,3,4,3
"ARSO 43 Alameda Circular 2, Plano Diretor Sul",620000,140,3,4,2
"ARSO 54 Alameda 8, Plano Diretor Sul",590000,132,3,3,2
"Plano Diretor Sul, Palmas",280000,106,3,2,0
"Plano Diretor Sul, Palmas",520000,180,3,2,2
"Plano Diretor Norte, Palmas",550000,116,3,1,4
"Plano Diretor Sul, Palmas",540000,126,3,2,4
"Quadra ARNE 41 Alameda 1, Plano Diretor Norte",650000,160,3,3,2
"Plano Diretor Sul, Palmas",450000,160,3,2,4
"Plano Diretor Sul, Palmas",690000,167,3,3,0
