endereco,preco,area,quartos,banheiros,garagens
"Plano Diretor Sul, Palmas",520000,116,3,2,0
"Plano Diretor Sul, Palmas",360000,352,3,2,4
"Plano Diretor Sul, Palmas",550000,267,3,3,4
"Plano Diretor Sul, Palmas",350000,80,2,2,2
"Plano Diretor Sul, Palmas",695000,180,3,2,0
"Quadra ARSO 151 QI 22, Plano Diretor Sul",460000,133,3,2,1
"Plano Diretor Sul, Palmas",340000,360,3,2,2
"Plano Diretor Sul, Palmas",530000,120,3,2,2
"Quadra ARNE 71 Alameda 4, Plano Diretor Norte",550000,130,3,3,2
"Plano Diretor Sul, Palmas",200000,80,3,1,3
"Plano Diretor Sul, Palmas",690000,206,3,3,3
"Plano Diretor Sul, Palmas",750000,450,3,3,3
"Plano Diretor Sul, Palmas",500000,10,1,1,0
"Plano Diretor Sul, Palmas",220000,60,2,2,1
"Plano Diretor Sul, Palmas",695000,154,3,2,0
"Plano Diretor Sul, Palmas",750000,168,4,3,4
"Plano Diretor Sul, Palmas",390000,130,3,2,3
"Plano Diretor Sul, Palmas",395000,184,5,5,4
"ARSO 43 Alameda Circular 1, Plano Diretor Sul",640000,138,3,3,2
"ARSO 42 Alameda 2, Plano Diretor Sul",590000,130,3,3,2
"Plano Diretor Sul, Palmas",645000,329,3,1,3
"Plano Diretor Sul, Palmas",250000,63,2,2,2
"Quadra ARNE 14 Alameda 23, Plano Diretor Norte",550000,154,4,3,3
"Plano Diretor Sul, Palmas",739000,247,3,3,4
"Plano Diretor Sul, Palmas",460000,245,3,4,0
"Plano Diretor Sul, Palmas",650000,246,3,3,4
"Plano Diretor Sul, Palmas",420000,120,3,2,0
"Quadra ARSO 151 QI 35, Plano Diretor Sul",650000,207,4,4,4
"Plano Diretor Sul, Palmas",320000,88,2,2,2
"Plano Diretor Sul, Palmas",299000,77,3,2,0
"Quadra ARSE 121 Alameda 6, Plano Diretor Sul",430000,148,3,2,2
"Plano Diretor Sul, Palmas",550000,116,3,2,2
"Quadra ARSO 52 Alameda 19, Plano Diretor Sul",520000,103,3,2,2
"Plano Diretor Sul, Palmas",375000,100,3,2,2
"Plano Diretor Sul, Palmas",260000,80,2,2,1
"Plano Diretor Sul, Palmas",645000,135,3,3,0
"Plano Diretor Sul, Palmas",490000,360,3,4,3
"Quadra ARNE 71 Alameda 9, Plano Diretor Norte",670000,165,3,2,4
"Plano Diretor Sul, Palmas",720000,102,3,2,1
"Quadra ARSE 102 Alameda 22, Plano Diretor Sul",450000,135,3,2,2
"Plano Diretor Sul, Palmas",450000,140,3,2,4
"Plano Diretor Sul, Palmas",220000,60,2,2,1
"Plano Diretor Sul, Palmas",599000,145,3,2,2
"Plano Diretor Sul, Palmas",550000,250,4,4,2
"Plano Diretor Sul, Palmas",600000,103,3,2,2
"Plano Diretor Sul, Palmas",360000,92,3,1,2
"ARSO 54 Alameda 8, Plano Diretor Sul",629000,125,3,3,3
"ARSO 43 Alameda Circular 1, Plano Diretor Sul",670000,154,3,2,2
"Plano Diretor Sul, Palmas",650000,137,3,4,2
"ARSE 23 Alameda 1, Plano Diretor Sul",1150000,300,4,3,5
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",550000,96,3,2,2
"Plano Diretor Sul, Palmas",400000,106,3,2,2
"ARSO 31 Alameda 9, Plano Diretor Sul",1700000,350,3,5,4
"Plano Diretor Sul, Palmas",615000,109,3,2,0
"Plano Diretor Sul, Palmas",990000,450,5,6,5
"Plano Diretor Sul, Palmas",750000,320,2,5,3
"Plano Diretor Sul, Palmas",680000,158,3,2,2
"Plano Diretor Norte, Palmas",699000,127,3,2,2
"Plano Diretor Sul, Palmas",520000,219,3,2,2
"Plano Diretor Sul, Palmas",899000,184,3,4,2
"Quadra ARSE 102 Alameda 2, Plano Diretor Sul",750000,240,4,3,2
"Plano Diretor Sul, Palmas",749900,144,3,4,4
"ARSE 14 Alameda 19, Plano Diretor Sul",519000,111,3,1,2
"Plano Diretor Sul, Palmas",580000,300,3,2,2
"Plano Diretor Sul, Palmas",600000,103,3,2,2
"Quadra ARSO 151 QI 20, Plano Diretor Sul",550000,225,4,4,2
"Plano Diretor Sul, Palmas",440000,101,3,2,2
"Plano Diretor Sul, Palmas",740000,155,3,3,0
"Plano Diretor Sul, Palmas",600000,144,3,2,0
"Quadra ARSE 141 Alameda 12, Plano Diretor Sul",380000,92,3,1,0
"ARSO 61 Alameda 6, Plano Diretor Sul",580000,360,3,2,4
"Quadra ARNE 14 Alameda 25, Plano Diretor Norte",490000,125,3,2,4
"Quadra ARSE 62 Alameda Di Cavalcanti, Plano Diretor Sul",197000,67,2,2,1
"Plano Diretor Sul, Palmas",639000,139,3,2,2
"ARSO 24 Avenida NS 9, Plano Diretor Sul",1600000,196,4,4,2
"Quadra AANO, Plano Diretor Norte",870000,205,3,4,3
"ARSO 22 Alameda 28, Plano Diretor Sul",580000,130,3,2,2
"Quadra ARSO 121 Alameda 1, Plano Diretor Sul",350000,155,3,2,2
"Plano Diretor Sul, Palmas",370000,158,3,1,2
"Plano Diretor Sul, Palmas",350000,96,3,1,2
"Plano Diretor Sul, Palmas",270000,80,3,2,1
"Quadra ARSO 52 Alameda 27, Plano Diretor Sul",380000,98,3,2,2
"Plano Diretor Sul, Palmas",420000,102,3,2,2
"Plano Diretor Sul, Palmas",780000,154,3,5,0
"Plano Diretor Sul, Palmas",780000,205,3,3,4
"Plano Diretor Sul, Palmas",550000,120,3,4,2
"Quadra ARSO 52 Alameda 27, Plano Diretor Sul",690000,150,3,4,2
"ARSO 42 Alameda 12, Plano Diretor Sul",620000,132,3,3,2
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",1100000,360,3,3,3
"ARSO 42 Alameda 11, Plano Diretor Sul",620000,142,3,3,2
"Plano Diretor Sul, Palmas",530000,140,3,3,3
"ARSO 43 Alameda 11, Plano Diretor Sul",650000,124,3,2,4
"Plano Diretor Sul, Palmas",1500000,446,4,7,8
"Plano Diretor Sul, Palmas",1250000,185,3,5,3
"Plano Diretor Sul, Palmas",470000,365,3,1,2
"Plano Diretor Sul, Palmas",880000,190,3,4,4
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",1200000,200,3,4,4
"Quadra ARSE 131 Rua 1, Plano Diretor Sul",690000,156,3,3,2
"Plano Diretor Sul, Palmas",220000,60,2,1,1
"Plano Diretor Sul, Palmas",680000,329,3,2,2
"Quadra ARSO 151 HM 11, Plano Diretor Sul",199000,55,2,2,1
"Taquarussu, Palmas",240000,360,3,1,2
"Jardim Aureny III, Palmas",210000,72,2,1,2
"ARSE 13 Alameda 6, Plano Diretor Sul",225000,51,2,2,1
"ARSO 53 Alameda 29, Plano Diretor Sul",1250000,211,3,4,2
"Plano Diretor Sul, Palmas",460000,213,3,3,4
"Quadra ARSE 141 Alameda 12, Plano Diretor Sul",350000,96,3,1,2
"Plano Diretor Sul, Palmas",370000,200,3,3,0
"Plano Diretor Sul, Palmas",285000,75,2,1,2
"ARSO 53 Alameda 20, Plano Diretor Sul",1050000,200,3,5,4
"Loteamento Bertaville, Palmas",195000,76,2,2,2
"Quadra ARSE 141 Alameda 1, Plano Diretor Sul",305000,82,2,2,2
"ARSO 42 Alameda 15, Plano Diretor Sul",270000,59,2,1,0
"Plano Diretor Sul, Palmas",650000,120,3,2,2
"Plano Diretor Sul, Palmas",380000,110,3,1,3
"ARSE 12 Alameda 4, Plano Diretor Sul",765000,147,3,1,2
"Quadra ARNE 64 Alameda 2, Plano Diretor Norte",315000,115,3,1,3
"ARSO 42 Alameda 2, Plano Diretor Sul",290000,88,2,2,1
"ARSO 42 Alameda 27, Plano Diretor Sul",650000,320,4,4,4
"Plano Diretor Sul, Palmas",695000,150,3,4,2
"Plano Diretor Sul, Palmas",695000,180,3,2,4
"ARSE 12 Alameda 20, Plano Diretor Sul",899000,184,3,4,2
"Plano Diretor Sul, Palmas",530000,116,3,3,2
"Plano Diretor Norte, Palmas",520000,384,3,1,2
"Plano Diretor Norte, Palmas",330000,88,2,1,2
"Plano Diretor Sul, Palmas",550000,240,4,3,6
"Quadra ARSE 141 Alameda 12, Plano Diretor Sul",285000,75,2,1,0
"Plano Diretor Sul, Palmas",990000,192,3,5,0
"ARSO 54 Alameda 8, Plano Diretor Sul",795000,168,3,3,2
"Plano Diretor Sul, Palmas",750000,155,3,3,0
"Quadra ARSE 21 Alameda 10, Plano Diretor Sul",2300000,602,5,7,5
"Plano Diretor Norte, Palmas",280000,90,2,1,2
"Plano Diretor Sul, Palmas",350000,160,3,2,0
"Plano Diretor Sul, Palmas",350000,114,3,1,3
"Quadra ARSO 102 Alameda 9, Plano Diretor Sul",350000,10,3,2,3
"Plano Diretor Sul, Palmas",500000,111,3,2,0
"Avenida Taquari, Jardim Santa Barbara",180000,107,2,1,4
"Plano Diretor Norte, Palmas",699000,357,3,2,1
"Plano Diretor Sul, Palmas",480000,132,3,3,0
"Plano Diretor Sul, Palmas",660000,158,3,1,2
"ARSE 14 Alameda 19, Plano Diretor Sul",520000,120,3,2,2
"Quadra ARSO 151 QI 34, Plano Diretor Sul",598000,140,3,3,3
"Plano Diretor Sul, Palmas",780000,170,3,4,4
"Plano Diretor Sul, Palmas",850000,315,3,4,5
"Plano Diretor Sul, Palmas",760000,135,3,3,4
"Plano Diretor Sul, Palmas",130000,62,2,1,2
"Quadra ARSE 121 Alameda 4, Plano Diretor Sul",760000,238,4,3,4
"Plano Diretor Sul, Palmas",330000,152,3,2,2
"Plano Diretor Sul, Palmas",160000,49,2,2,1
"Plano Diretor Sul, Palmas",390000,95,3,2,2
"Plano Diretor Sul, Palmas",390000,197,3,1,2
"Plano Diretor Sul, Palmas",649000,129,3,3,4
"Plano Diretor Sul, Palmas",750000,360,3,3,0
"Plano Diretor Sul, Palmas",689000,138,3,4,3
"Plano Diretor Sul, Palmas",580000,140,3,2,2
"ARSO 33 Rua 5, Plano Diretor Sul",975000,212,4,5,2
"Plano Diretor Sul, Palmas",710000,185,3,3,2
"Quadra ARSO 151 QI 20, Plano Diretor Sul",380000,120,3,1,0
"Plano Diretor Sul, Palmas",280000,72,2,2,3
"Plano Diretor Sul, Palmas",350000,85,3,2,2
"ARSO 53 Alameda 2, Plano Diretor Sul",650000,150,3,2,2
"Plano Diretor Norte, Palmas",699000,127,3,2,2
"ARSO 62 Alameda 16, Plano Diretor Sul",500000,107,3,2,2
"Quadra ARSE 71 Avenida NS 4, Plano Diretor Sul",260000,140,3,2,0
"Quadra ARSO 151 QI 35, Plano Diretor Sul",550000,170,3,3,3
"Plano Diretor Sul, Palmas",370000,103,3,2,0
"ARSO 33 Rua 5, Plano Diretor Sul",870000,179,3,4,4
"Plano Diretor Sul, Palmas",639000,138,3,3,0
"Plano Diretor Sul, Palmas",570000,102,3,3,2
"ARSO 53 Alameda 2, Plano Diretor Sul",450000,150,3,3,2
"ARSO 42 Alameda 18 A, Plano Diretor Sul",880000,175,4,4,3
"Quadra ARSO 52 Alameda 16, Plano Diretor Sul",699990,150,3,3,3
"Plano Diretor Sul, Palmas",460000,265,3,2,3
"Plano Diretor Sul, Palmas",630000,225,3,3,2
"Plano Diretor Norte, Palmas",580000,150,3,2,2
"Plano Diretor Sul, Palmas",360000,92,3,1,2
"Quadra ARNE 74 Rua 12, Plano Diretor Norte",295000,77,2,2,2
"Plano Diretor Norte, Palmas",580000,240,3,2,2
"ARSO 62 Alameda 24, Plano Diretor Sul",420000,100,3,2,2
"Plano Diretor Sul, Palmas",550000,149,3,2,2
"Quadra ARNE 71 Alameda 14, Plano Diretor Norte",600000,152,3,3,3
"Rua Copaíba, Setor Morada do Sol Taquaralto",160000,73,2,2,1
"Plano Diretor Sul, Palmas",750000,360,4,4,3
"ARSE 14 Alameda 5, Plano Diretor Sul",400000,106,3,3,2
"Quadra ARNE 71 Avenida LO 18, Plano Diretor Norte",650000,135,3,2,2
"Plano Diretor Sul, Palmas",780000,212,4,3,3
"Plano Diretor Sul, Palmas",900000,150,3,3,4
"Plano Diretor Sul, Palmas",649000,129,3,3,4
"Quadra ARSO 111 Alameda 26, Plano Diretor Sul",410000,102,3,2,4
"Rua das Dalias, Setor Sonia Regina Taquaralto",190000,90,2,2,1
"Plano Diretor Sul, Palmas",1299000,200,3,3,2
"Plano Diretor Sul, Palmas",650000,194,4,2,4
"Plano Diretor Norte, Palmas",998000,157,3,3,0
"Quadra ARNO 33 Alameda 26, Plano Diretor Norte",170000,70,2,1,0
"Plano Diretor Sul, Palmas",550000,170,3,2,4
"Plano Diretor Sul, Palmas",270000,64,2,1,2
"Plano Diretor Sul, Palmas",450000,133,2,2,2
"Plano Diretor Sul, Palmas",600000,300,3,1,0
"ARSO 42 Alameda 5, Plano Diretor Sul",630000,144,3,3,2
"Quadra ARSE 92 Alameda 7, Plano Diretor Sul",420000,150,3,3,2
"Quadra ARSO 151 QI 35, Plano Diretor Sul",199000,55,2,2,1
"Plano Diretor Sul, Palmas",560000,124,3,2,0
"Plano Diretor Sul, Palmas",650000,154,3,2,2
"Plano Diretor Sul, Palmas",400000,103,3,1,1
"Loteamento Caribe, Palmas",2300000,287,4,5,0
"Quadra ARSO 151 QI 20, Plano Diretor Sul",390000,96,3,2,2
"ARSO 43 Alameda Circular 1, Plano Diretor Sul",630000,142,3,3,2
"ARSO 34 Rua 10, Plano Diretor Sul",690000,150,3,2,2
"Plano Diretor Sul, Palmas",540000,180,3,1,1
"Plano Diretor Sul, Palmas",500000,110,3,2,2
"Plano Diretor Sul, Palmas",1300000,209,3,4,0
"Quadra ARSO 151 HM 11, Plano Diretor Sul",199000,55,2,2,1
"ARSE 14 Alameda 5, Plano Diretor Sul",800000,305,4,5,4
"Plano Diretor Sul, Palmas",300000,93,3,2,0
"Quadra ARSO 151 QI 35, Plano Diretor Sul",200000,55,2,2,1
"Plano Diretor Sul, Palmas",580000,151,3,3,3
"ARSO 43 Alameda 3, Plano Diretor Sul",630000,135,3,2,3
"Plano Diretor Sul, Palmas",570000,102,3,2,2
"Graciosa - Orla 14 , Palmas",472334,104,3,1,2
"Plano Diretor Sul, Palmas",280000,70,2,2,2
"ACNO 1 Avenida LO 2, Plano Diretor Norte",600000,150,2,1,0
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",660000,240,3,2,2
"Quadra ARSE 51 Alameda 11, Plano Diretor Sul",380000,146,3,3,2
"Plano Diretor Sul, Palmas",625000,105,3,3,2
"Quadra ARSO 52 Alameda 10, Plano Diretor Sul",1200000,200,3,3,2
"Plano Diretor Sul, Palmas",589000,180,3,2,3
"Quadra ARSO 111 Alameda 26, Plano Diretor Sul",400000,102,3,2,4
"Plano Diretor Sul, Palmas",530000,225,4,3,4
"Plano Diretor Sul, Palmas",680000,247,3,4,4
"Quadra ARSO 151 HM 12, Plano Diretor Sul",199000,55,2,2,1
"Plano Diretor Norte, Palmas",699000,180,3,3,0
"Rua 1, Centro Taquaralto",690000,350,3,3,4
"Plano Diretor Sul, Palmas",1750000,380,3,2,4
"Plano Diretor Sul, Palmas",620000,140,3,3,2
"Plano Diretor Sul, Palmas",270000,61,2,2,0
"Plano Diretor Sul, Palmas",990000,170,3,3,3
"Plano Diretor Sul, Palmas",390000,102,3,1,4
"Plano Diretor Sul, Palmas",460000,265,3,2,4
"Plano Diretor Sul, Palmas",950000,223,3,2,0
"Plano Diretor Sul, Palmas",170000,68,2,2,0
"Plano Diretor Sul, Palmas",920000,117,3,2,2
"Plano Diretor Sul, Palmas",570000,130,3,2,0
"Quadra ARSE 71 Alameda 8, Plano Diretor Sul",280000,141,2,2,2
"Plano Diretor Sul, Palmas",350000,96,3,2,2
"Plano Diretor Norte, Palmas",699000,127,3,3,0
"ARSO 33 Rua 10, Plano Diretor Sul",975000,212,4,5,3
"Quadra ARSO 52 Alameda 40, Plano Diretor Sul",1100000,165,3,2,4
"Plano Diretor Sul, Palmas",340000,98,2,3,4
"Plano Diretor Sul, Palmas",260000,140,3,1,2
"Plano Diretor Sul, Palmas",640000,138,3,3,4
"ARSO 22 Avenida LO 5, Plano Diretor Sul",1250000,210,3,4,2
"Plano Diretor Sul, Palmas",430000,94,3,2,2
"ARSO 23 Alameda 9, Plano Diretor Sul",639000,138,3,2,4
"Plano Diretor Sul, Palmas",230000,60,2,2,1
"Plano Diretor Sul, Palmas",530000,116,3,3,0
"Quadra ARSO 111 Alameda 12, Plano Diretor Sul",360000,100,3,2,1
"Plano Diretor Sul, Palmas",460000,132,3,1,2
"Plano Diretor Sul, Palmas",530000,115,3,2,2
"Plano Diretor Sul, Palmas",460000,250,3,1,2
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",570000,129,3,2,2
"Plano Diretor Sul, Palmas",540000,124,3,3,0
"Plano Diretor Sul, Palmas",199000,55,2,1,2
"Plano Diretor Sul, Palmas",580000,360,3,3,3
"Plano Diretor Sul, Palmas",890000,172,3,3,2
"Plano Diretor Sul, Palmas",330000,127,3,3,1
"ARSO 22 Avenida LO 5, Plano Diretor Sul",1100000,192,3,4,0
"Plano Diretor Sul, Palmas",639000,138,3,2,5
"ARSO 31 Alameda 11, Plano Diretor Sul",795000,186,3,3,2
"ARSO 33 Rua 1, Plano Diretor Sul",500000,110,3,2,2
"Plano Diretor Sul, Palmas",750000,168,4,4,2
"Plano Diretor Norte, Palmas",330000,70,2,1,2
"Plano Diretor Sul, Palmas",950000,360,4,4,2
"Plano Diretor Sul, Palmas",750000,232,4,4,1
"Quadra ARSE 142 Avenida LO 33, Plano Diretor Sul",800000,232,3,3,4
"ARSO 24 Avenida NS 9, Zona Rural",1600000,394,4,2,2
"Plano Diretor Sul, Palmas",665000,215,3,3,2
"Plano Diretor Sul, Palmas",580000,133,3,3,2
"Plano Diretor Sul, Palmas",550000,202,3,1,3
"Plano Diretor Sul, Palmas",840000,330,4,4,4
"Plano Diretor Sul, Palmas",530000,116,3,2,2
"Plano Diretor Sul, Palmas",380000,360,3,2,3
"Plano Diretor Sul, Palmas",450000,98,3,1,2
"Quadra ARSO 111 Alameda 18, Plano Diretor Sul",325000,91,3,1,2
"Plano Diretor Sul, Palmas",420000,180,3,1,2
"ARSO 22 Alameda 16, Plano Diretor Sul",390000,110,3,2,2
"Plano Diretor Sul, Palmas",910000,181,3,4,3
"Plano Diretor Sul, Palmas",650000,134,3,3,0
"Orla 14 Alameda 8, Graciosa - Orla 14",589700,217,3,3,2
"Plano Diretor Sul, Palmas",530000,103,3,2,2
"ARSO 54 Alameda 5, Plano Diretor Sul",649000,129,3,2,2
"Plano Diretor Sul, Palmas",580000,330,3,1,2
"Plano Diretor Norte, Palmas",950000,250,3,1,4
"Plano Diretor Sul, Palmas",370000,100,3,2,0
"Loteamento Caribe, Palmas",710000,133,3,3,2
"Plano Diretor Sul, Palmas",650000,134,3,2,2
"ARSO 43 Alameda 6, Plano Diretor Sul",640000,150,3,2,2
"ARSO 53 Alameda 23, Plano Diretor Sul",710000,186,3,4,0
"ARSO 63 Alameda 13, Plano Diretor Sul",875000,250,3,3,0
"Plano Diretor Sul, Palmas",849000,250,4,5,0
"ARSO 22 Alameda 1, Plano Diretor Sul",600000,129,3,2,2
"Plano Diretor Sul, Palmas",699000,157,3,3,4
"Plano Diretor Sul, Palmas",420000,197,3,3,3
"Plano Diretor Sul, Palmas",390000,196,3,2,2
"Plano Diretor Norte, Palmas",1200000,198,3,5,0
"Plano Diretor Norte, Palmas",700000,190,3,2,2
"ARSO 62 Alameda 6, Plano Diretor Sul",750000,348,5,5,4
"Plano Diretor Sul, Palmas",550000,170,3,3,2
"Plano Diretor Sul, Palmas",600000,142,3,2,2
"ARSO 43 Alameda 5, Plano Diretor Sul",625000,150,3,2,3
"Quadra ARSE 51 Alameda 2, Plano Diretor Sul",450000,147,3,2,2
"Plano Diretor Sul, Palmas",630000,130,3,3,3
"Plano Diretor Sul, Palmas",199000,300,3,1,2
"Plano Diretor Sul, Palmas",640000,140,3,2,2
"Plano Diretor Sul, Palmas",530000,116,3,2,2
"ARSO 22 Avenida LO 5, Plano Diretor Sul",950000,175,3,3,3
"ARSO 42 Alameda 15, Plano Diretor Sul",880000,175,4,4,2
"Plano Diretor Sul, Palmas",550000,111,3,1,2
"Plano Diretor Sul, Palmas",270000,200,2,1,2
"Plano Diretor Sul, Palmas",630000,118,3,3,3
"ARSO 62 Alameda 2, Plano Diretor Sul",500000,120,3,2,2
"Plano Diretor Sul, Palmas",650000,120,3,3,3
"Quadra ARSE 142 Avenida LO 33, Plano Diretor Sul",990000,192,3,5,4
"Plano Diretor Sul, Palmas",629000,125,3,2,2
"Quadra ARSO 151 QI 35, Plano Diretor Sul",390000,95,3,1,2
"ARSO 53 Alameda 2, Plano Diretor Sul",850000,265,4,4,2
"Graciosa - Orla 14 , Palmas",650000,150,3,4,2
"Plano Diretor Sul, Palmas",520000,122,3,2,2
"Quadra ARNO 44 Alameda 29, Plano Diretor Norte",100000,115,2,1,0
"Quadra ARSE 61 Alameda 13, Plano Diretor Sul",650000,350,6,5,3
"ARSE 22 Alameda 8, Plano Diretor Sul",650000,180,3,3,2
"Plano Diretor Sul, Palmas",520000,200,3,3,3
"Plano Diretor Norte, Palmas",500000,160,3,4,0
"Plano Diretor Sul, Palmas",570000,130,3,3,0
"ARSO 32 Avenida LO 5, Plano Diretor Sul",650000,150,3,3,3
"Plano Diretor Sul, Palmas",625000,150,3,2,0
"Plano Diretor Norte, Palmas",1200000,196,3,5,4
"Plano Diretor Sul, Palmas",650000,225,3,2,2
"ACSU SO 60 Avenida NS 1, Plano Diretor Sul",1150000,303,5,5,4
"Quadra ASR SE 75 Alameda 7, Plano Diretor Sul",250000,91,1,1,4
"ARSO 31 Alameda 2, Plano Diretor Sul",1750000,361,4,4,5
"ARSE 24 Alameda 7, Plano Diretor Sul",399000,123,3,1,2
"ARSO 43 Alameda 10, Plano Diretor Sul",560000,115,3,3,2
"Plano Diretor Sul, Palmas",440000,159,4,3,2
"Plano Diretor Norte, Palmas",699000,127,3,2,2
"Plano Diretor Sul, Palmas",450000,119,3,2,1
"Plano Diretor Sul, Palmas",4500000,400,5,5,4
"Plano Diretor Sul, Palmas",540000,130,3,3,2
"Plano Diretor Sul, Palmas",530000,116,3,2,2
"Orla 14 Alameda 8, Graciosa - Orla 14",782000,192,3,4,2
"Plano Diretor Sul, Palmas",650000,127,3,2,2
"Plano Diretor Sul, Palmas",260000,132,3,1,2
"Plano Diretor Sul, Palmas",550000,140,3,3,0
"Plano Diretor Sul, Palmas",629000,125,3,3,3
"ARSO 54 Alameda 5, Plano Diretor Sul",629000,125,3,2,2
"Rua 36, Jardim Aureny III",160000,57,2,1,1
"Plano Diretor Sul, Palmas",1150000,200,3,3,0
"Plano Diretor Sul, Palmas",1700000,353,4,5,4
"Plano Diretor Sul, Palmas",890000,181,3,4,3
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",720000,150,3,3,4
"ARSE 22 Alameda 10, Plano Diretor Sul",799990,180,3,4,3
"Plano Diretor Sul, Palmas",610000,145,3,2,0
"Plano Diretor Sul, Palmas",600000,144,3,2,2
"Quadra ARSE 21 Alameda 11, Plano Diretor Sul",2300000,477,4,6,4
"Plano Diretor Sul, Palmas",680000,157,3,3,2
"Plano Diretor Sul, Palmas",600000,365,3,4,1
"Plano Diretor Sul, Palmas",799900,232,3,5,0
"Plano Diretor Sul, Palmas",299000,256,3,1,2
"Plano Diretor Sul, Palmas",220000,60,2,2,0
"Plano Diretor Sul, Palmas",330000,98,3,2,1
"ARSO 53 Alameda 28, Plano Diretor Sul",600000,145,3,3,3
"Plano Diretor Sul, Palmas",530000,120,3,2,2
"Quadra ARSO 151 QI 20, Plano Diretor Sul",530000,228,4,1,0
"Plano Diretor Sul, Palmas",730000,165,3,4,4
"Plano Diretor Sul, Palmas",580000,180,3,3,1
"Plano Diretor Sul, Palmas",499000,180,3,2,2
"Plano Diretor Sul, Palmas",490000,215,3,2,2
"ARSO 63 Alameda 1, Plano Diretor Sul",530000,130,3,1,2
"Plano Diretor Sul, Palmas",580000,136,3,2,2
"Plano Diretor Sul, Palmas",610000,145,3,2,0
"Plano Diretor Sul, Palmas",750000,302,3,4,0
"Plano Diretor Norte, Palmas",300000,308,3,1,3
"ARSO 33 Rua 3, Plano Diretor Sul",900000,400,4,4,3
"Plano Diretor Sul, Palmas",750000,141,3,2,0
"Plano Diretor Norte, Palmas",650000,363,3,1,4
"Plano Diretor Sul, Palmas",690000,150,3,2,0
"Plano Diretor Sul, Palmas",990000,170,3,3,4
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",560000,142,3,3,2
"Plano Diretor Norte, Palmas",650000,120,3,2,3
"Plano Diretor Sul, Palmas",690000,150,3,3,2
"Plano Diretor Sul, Palmas",770000,177,4,5,2
"Plano Diretor Sul, Palmas",920000,210,3,5,4
"Plano Diretor Sul, Palmas",690000,150,3,2,4
"Plano Diretor Sul, Palmas",880000,321,4,5,5
"Plano Diretor Sul, Palmas",710000,185,3,3,2
"Plano Diretor Sul, Palmas",350000,160,3,1,2
"Plano Diretor Sul, Palmas",497000,225,3,1,3
"Plano Diretor Sul, Palmas",750000,168,4,1,4
"Plano Diretor Sul, Palmas",640000,142,3,2,0
"Plano Diretor Sul, Palmas",580000,132,3,3,2
"Plano Diretor Sul, Palmas",520000,180,3,1,2
"Plano Diretor Sul, Palmas",630000,126,3,2,3
"Plano Diretor Sul, Palmas",690000,150,3,3,4
"Plano Diretor Sul, Palmas",190000,80,2,1,0
"Plano Diretor Sul, Palmas",799900,180,3,1,2
"Plano Diretor Sul, Palmas",720000,167,3,3,3
"Plano Diretor Sul, Palmas",762048,147,3,4,2
"Quadra ARSO 52 Alameda 15, Plano Diretor Sul",980000,228,3,3,3
"Plano Diretor Sul, Palmas",190000,80,2,1,2
"Plano Diretor Sul, Palmas",550000,120,3,2,2
"Quadra ARSO 112 Alameda 23, Plano Diretor Sul",170000,100,2,1,2
"Plano Diretor Sul, Palmas",650000,195,3,2,3
"Plano Diretor Sul, Palmas",650000,360,3,2,3
"ARSO 22 Alameda 10, Plano Diretor Sul",1700000,325,4,6,4
"Plano Diretor Norte, Palmas",559000,130,3,3,0
"Plano Diretor Sul, Palmas",900000,190,1,3,2
"ARSO 53 Alameda 2, Plano Diretor Sul",630000,224,3,3,2
"Plano Diretor Sul, Palmas",600000,279,3,1,4
"ARSO 43 Alameda 10, Plano Diretor Sul",599999,238,3,3,2
"Quadra ARNE 14 Alameda 21, Plano Diretor Sul",1500000,290,5,1,3
"Plano Diretor Sul, Palmas",565000,133,3,3,4
"Plano Diretor Norte, Palmas",850000,234,4,2,3
"Plano Diretor Sul, Palmas",760000,130,3,2,4
"Plano Diretor Sul, Palmas",1100000,192,3,2,0
"Plano Diretor Sul, Palmas",700000,110,3,1,2
"Plano Diretor Sul, Palmas",290000,75,2,1,2
"Área Rural de Palmas, Area Rural de Palmas",240000,450,2,2,0
"ARSO 53 Alameda 7, Plano Diretor Sul",800000,400,5,5,4
"Plano Diretor Sul, Palmas",500000,103,3,1,2
"Plano Diretor Sul, Palmas",140000,80,2,1,1
"Plano Diretor Sul, Palmas",695000,360,3,3,3
"Quadra ARSO 52 Alameda 5, Plano Diretor Sul",520000,116,2,2,2
"ARSO 14 Avenida NS 9, Plano Diretor Sul",1600000,208,3,4,2
"Plano Diretor Sul, Palmas",625000,135,3,2,3
"ARSO 43 Alameda Circular 1, Plano Diretor Sul",650000,135,3,3,2
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",530000,103,3,3,2
"Plano Diretor Sul, Palmas",980000,179,3,5,4
"Plano Diretor Sul, Palmas",530000,180,3,3,2
"ARSO 43 Alameda 12, Plano Diretor Sul",560000,115,3,3,2
"Area Rural de Palmas, Palmas",1850000,600,4,4,4
"Plano Diretor Sul, Palmas",330000,120,3,2,1
